Movie name,Ratings,Voting counts,Duration,Genre
Attack on Titan the Movie: The Last Attack,9.2,17000,145,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,6.9,5400,91,Animation
Memoir of a Snail,7.8,19000,95,Animation
Harold and the Purple Crayon,5.7,8800,90,Animation
The Garfield Movie,5.7,25000,101,Animation
Solo Leveling: ReAwakening,8.8,14000,121,Animation
Spellbound,5.5,7900,109,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5,36000,82,Animation
Spermageddon,5.6,1000,80,Animation
Piece by Piece,6.9,6000,93,Animation
Look Back,7.8,16000,58,Animation
Dan Da Dan: First Encounter,8.2,2900,83,Animation
Watchmen: Chapter I,7.1,7000,83,Animation
Orion and the Dark,6.3,18000,93,Animation
Crayon Shin-chan: Our Dinosaur Diary,6.6,602,106,Animation
Watchmen: Chapter II,7.1,3400,90,Animation
The Remarkable Life of Ibelin,8.2,13000,103,Animation
Justice League: Crisis on Infinite Earths - Part One,6.2,8800,93,Animation
I Am What I Am 2,7.5,361,134,Animation
Dragonkeeper,5.7,1800,98,Animation
Justice League: Crisis on Infinite Earths - Part Three,6.0,4800,94,Animation
My Hero Academia: You're Next,6.9,2600,110,Animation
The Most Precious of Cargoes,7.1,1500,81,Animation
Haikyu!! The Dumpster Battle,7.7,6500,85,Animation
Doraemon the Movie: Nobita's Earth Symphony,6.6,1600,115,Animation
The Colors Within,7.1,1100,101,Animation
Overlord: The Sacred Kingdom,6.9,1400,135,Animation
That Christmas,6.8,17000,91,Animation
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8800,104,Animation
Lesbian Space Princess,7.0,180,87,Animation
Hitpig,5.1,1100,86,Animation
Justice League: Crisis on Infinite Earths - Part Two,5.5,5600,94,Animation
Ultraman: Rising,6.9,6600,117,Animation
Night of the Zoopocalypse,6.0,904,91,Animation
White Snake: Afloat,6.9,559,133,Animation
Given 3: To the Sea,7.6,127,80,Animation
Boys Go to Jupiter,6.8,112,90,Animation
Frida,7.5,1500,87,Animation
Blue Lock: Episode Nagi,6.6,2600,91,Animation
No Other Land,8.3,14000,92,Documentary
2073,5.0,3200,85,Documentary
The Bibi Files,7.5,1300,115,Documentary
The Beach Boys,7.1,2200,113,Documentary
Pavements,7.2,335,128,Documentary
Will & Harper,7.4,12000,114,Documentary
Secret Mall Apartment,7.3,521,91,Documentary
The Remarkable Life of Ibelin,8.2,13000,103,Documentary
Sugarcane,7.0,3400,107,Documentary
Architecton,6.5,400,98,Documentary
Lover Stalker Killer,7.0,14000,90,Documentary
One to One: John & Yoko,7.3,597,101,Documentary
Cheech & Chong's Last Movie,7.2,458,120,Documentary
The Program,7.1,841,102,Documentary
The Menendez Brothers,7.0,9700,119,Documentary
Super/Man: The Christopher Reeve Story,8.0,9600,104,Documentary
Afternoons of Solitude,7.3,709,125,Documentary
Behind the Lines,9.0,23,107,Documentary
Moses,8.3,124,127,Documentary
The Bloody Hundredth,7.5,2700,62,Documentary
Black Box Diaries,7.5,3700,102,Documentary
Harley Flanagan: Wired for Chaos,6.2,22,99,Documentary
Music by John Williams,8.2,5000,105,Documentary
Soundtrack to a Coup d'Etat,7.8,3200,150,Documentary
Liza: A Truly Terrific Absolutely True Story,7.6,450,104,Documentary
Brats,6.5,7000,92,Documentary
Am I Racist?,6.7,17000,100,Documentary
Billy & Molly: An Otter Love Story,8.0,2000,77,Documentary
Every Little Thing,7.1,314,93,Documentary
Buy Now! The Shopping Conspiracy,6.7,6700,84,Documentary
Riefenstahl,7.1,804,115,Documentary
Beatles '64,7.2,2700,106,Documentary
A Photographic Memory,7.4,28,87,Documentary
Yacht Rock: A Dockumentary,7.6,1900,95,Documentary
Tom Petty: Heartbreakers Beach Party,7.3,285,84,Documentary
The Greatest Night in Pop,7.9,15000,96,Documentary
Witches,7.4,1300,90,Documentary
Elton John: Never Too Late,6.5,2000,102,Documentary
The Blue Angels,7.2,2800,93,Documentary
Giannis: The Marvelous Journey,8.3,1800,109,Documentary
Daughters,7.5,1700,108,Documentary
Dahomey,6.8,2800,68,Documentary
Antidote,7.5,141,89,Documentary
The Last Journey,7.8,5400,95,Documentary
Avicii - I'm Tim,7.7,7400,95,Documentary
The Thinking Game,7.6,279,84,Documentary
Frida,7.5,1500,87,Documentary
Jim Henson: Idea Man,7.7,3900,111,Documentary
Bambi: A Tale of Life in the Woods,5.6,245,78,Documentary
El Apocalipsis de San Juan,6.8,206,110,Documentary
Despicable Me 4,6.2,68000,94,Family
Pinnil Oral,7.7,411,127,Family
Hitpig,5.1,1100,86,Family
Megamind vs. The Doom Syndicate,2.4,5700,83,Family
The Thundermans Return,4.9,1900,70,Family
Porch Pirates,5.0,107,107,Family
Chithini,7.4,550,151,Family
Rangeet,7.1,100,94,Family
